validation_unit_id,issuer_key,issuer_name,scope_disposition,screen_status,origin_count,source_row_ids,reference_case_id,reference_label,outcome_status,origin_document_ids_missing,current_scope_document_ids
mv_6c405c7c4748,山东金曰交通发展集团有限公司,山东金曰交通发展集团有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0012,,,unknown,0,doc_sch_20260630_0012_012
mv_707d013abcbe,青海省国有资产投资管理有限公司,青海省国有资产投资管理有限公司,ineligible,screened_no_direct_formal_event,2,exp3_20260703_0006;sch_20260630_0114,,,unknown,0,doc_exp3_20260703_0006_001;doc_sch_20260630_0114_001
mv_71e01e61d2da,晋江市国有资本投资运营有限责任公司,晋江市国有资本投资运营有限责任公司,eligible,screen_positive_nominal,1,exp_20260703_0007,,,unknown,0,doc_exp_20260703_0007_003
mv_7720bd7c9489,青海省能源发展集团有限责任公司,青海省能源发展(集团)有限责任公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0120,,,unknown,0,doc_sch_20260630_0120_008
mv_7964f4b4fada,如皋市经济贸易开发有限公司,如皋市经济贸易开发有限公司,eligible,screen_positive_nominal,1,exp9_20260704_0035,,,unknown,0,doc_exp9_20260704_0035_005
mv_7c33183335cb,武汉光谷金融控股集团有限公司,武汉光谷金融控股集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0009,,,unknown,0,doc_sch_20260630_0009_007
mv_7f37b3c6b3b7,常州市城市建设集团有限公司,常州市城市建设(集团)有限公司,eligible,screen_positive_nominal,1,exp3_20260703_0018,,,unknown,0,doc_exp3_20260703_0018_001
mv_81aed909eaf3,新疆水利发展投资集团有限公司,新疆水利发展投资(集团)有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0088,,,unknown,0,doc_sch_20260630_0088_005
mv_83fa1cb2dc9e,温州市交通运输集团有限公司,温州市交通运输集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0066,,,unknown,0,doc_sch_20260630_0066_003
mv_8508178f07a5,山东泉汇产业发展有限公司,山东泉汇产业发展有限公司,eligible,screen_positive_nominal,1,exp5_20260703_0001,,,unknown,0,doc_exp5_20260703_0001_009
mv_8587415ef74c,甘肃能源化工投资集团有限公司,甘肃能源化工投资集团有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0023,,,unknown,0,doc_sch_20260630_0023_001
mv_85b2849afad8,厦门金圆投资集团有限公司,厦门金圆投资集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0004,,,unknown,0,doc_sch_20260630_0004_011
mv_8c56f4ed9aa0,广州交通投资集团有限公司,广州交通投资集团有限公司,eligible,screen_positive_nominal,1,exp_20260703_0002,,,unknown,0,doc_exp_20260703_0002_005;doc_exp_20260703_0002_006;web_gz_gov_guangzhou_transport_profile
mv_929687b00137,东莞市交通投资控股集团有限公司,东莞市交通投资控股集团有限公司,eligible,screened_no_direct_formal_event,1,sch_20260630_0099,,,unknown,0,doc_sch_20260630_0099_006
mv_940b87861065,深圳市东阳光实业发展有限公司,深圳市东阳光实业发展有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0135,,,unknown,0,doc_sch_20260630_0135_010
mv_9613923f775d,黄山旅游集团有限公司,黄山旅游集团有限公司,ineligible,screen_positive_nominal,1,exp8_20260703_0250,,,unknown,0,doc_exp8_20260703_0250_011
