GID_2,NAME_1,NL_NAME_1,NAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,area_sqkm_approx
CHN.17.4_1,Jilin,吉林,Jilin,吉林市,Dìjíshì,PrefectureCity,27502.969
CHN.17.5_1,Jilin,吉林,Liaoyuan,辽源市,Dìjíshì,PrefectureCity,5152.728
CHN.17.6_1,Jilin,吉林,Siping,四平市,Dìjíshì,PrefectureCity,14323.253
CHN.17.7_1,Jilin,吉林,Songyuan,松原市,Dìjíshì,PrefectureCity,21121.144
CHN.17.8_1,Jilin,吉林,Tonghua,通化市,Dìjíshì,PrefectureCity,15611.868
CHN.17.9_1,Jilin,吉林,YanbianKorean,延边朝鲜族自治州,Zìzhìzhou,AutonomousPrefecture,43454.556
CHN.18.1_1,Liaoning,遼寧|辽宁,Anshan,鞍山市,Dìjíshì,PrefectureCity,9220.072
CHN.18.2_1,Liaoning,遼寧|辽宁,Benxi,本溪市,Dìjíshì,PrefectureCity,8439.726
CHN.18.3_1,Liaoning,遼寧|辽宁,Chaoyang,朝阳市,Dìjíshì,PrefectureCity,19671.504
CHN.18.4_1,Liaoning,遼寧|辽宁,Dalian,大连市,Dìjíshì,PrefectureCity,12534.718
CHN.18.5_1,Liaoning,遼寧|辽宁,Dandong,丹东市,Dìjíshì,PrefectureCity,14780.067
CHN.18.6_1,Liaoning,遼寧|辽宁,Fushun,抚顺市,Dìjíshì,PrefectureCity,11218.418
CHN.18.7_1,Liaoning,遼寧|辽宁,Fuxin,阜新市,Dìjíshì,PrefectureCity,10283.471
CHN.18.8_1,Liaoning,遼寧|辽宁,Huludao,葫芦岛市,Dìjíshì,PrefectureCity,10290.232
CHN.18.9_1,Liaoning,遼寧|辽宁,Jinzhou,锦州市,Dìjíshì,PrefectureCity,9991.267
CHN.18.10_1,Liaoning,遼寧|辽宁,Liaoyang,辽阳市,Dìjíshì,PrefectureCity,4663.922
CHN.18.11_1,Liaoning,遼寧|辽宁,Panjin,盘锦市,Dìjíshì,PrefectureCity,3634.157
CHN.18.12_1,Liaoning,遼寧|辽宁,Shenyang,沈阳市,Dìjíshì,PrefectureCity,12883.016
CHN.18.13_1,Liaoning,遼寧|辽宁,Tieling,铁岭市,Dìjíshì,PrefectureCity,18096.912
MAC.1_1,Macau,NA,Ilhas,NA,Concelho|Distrito,District,22.396
MAC.2_1,Macau,NA,Macau,NA,Concelho|Distrito,District,11.234
CHN.19.1_1,NeiMongol,內蒙古自治區|内蒙古自治区,Alxa,阿拉善盟,Méng,League,243500.601
CHN.19.2_1,NeiMongol,內蒙古自治區|内蒙古自治区,Baotou,包头市,Dìjíshì,PrefectureCity,25433.686
CHN.19.3_1,NeiMongol,內蒙古自治區|内蒙古自治区,Baynnur,巴彦淖尔市,Dìjíshì,PrefectureCity,64620.209
CHN.19.4_1,NeiMongol,內蒙古自治區|内蒙古自治区,Chifeng,赤峰市,Dìjíshì,PrefectureCity,85103.965
CHN.19.5_1,NeiMongol,內蒙古自治區|内蒙古自治区,Hohhot,呼和浩特市,Dìjíshì,PrefectureCity,19462.007
CHN.19.6_1,NeiMongol,內蒙古自治區|内蒙古自治区,Hulunbuir,呼伦贝尔市,Dìjíshì,PrefectureCity,248966.247
CHN.19.7_1,NeiMongol,內蒙古自治區|内蒙古自治区,Ordos,鄂尔多斯市,Dìjíshì,PrefectureCity,86701.839
CHN.19.8_1,NeiMongol,內蒙古自治區|内蒙古自治区,Tongliao,通辽市,Dìjíshì,PrefectureCity,59144.551
CHN.19.9_1,NeiMongol,內蒙古自治區|内蒙古自治区,UlaanChab,乌兰察布市,Dìjíshì,PrefectureCity,54649.292
